name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 2004S,Ia,,,M-05-16-21,,Sc,5,65,2,,,14.2,1.12,SUPERNOVA TYPE I
SN 2003jg,Ib/c,,Y,NGC2997,,Sc,5,41,110,,,10.06,1.95,SUPERNOVA TYPE I
SN 2008eh,,,Y,NGC2997,,Sc,5,41,110,,,10.06,1.95,SUPERNOVA
SN 1998bs,,,,A132631-3109,,,,,,,,,,SUPERNOVA
SN 2012hy,Ia,,,NGC4903,,SBc,5.3,36,73,,,13.73,1.19,SUPERNOVA TYPE I
SN 2012eq,Ia,,,E412-G01,,Sbc,4.1,34,60,,,14.65,0.97,SUPERNOVA TYPE I
SN 1958D,,,,E440-G28,G,Sb,2.5,65,177,,,15.36,0.99,SUPERNOVA
SN 2010lr,Ia,,,A000234-3044,,,,,,,,,,SUPERNOVA TYPE I
SN 1997df,,,,A040913-3042,,,,,,,,,,SUPERNOVA
SN 1993H,Ia,,,E445-G66,,SBab,1.9,25,,,,14.7,1.06,SUPERNOVA TYPE I
SN 1992an,IIn,,,A133748-3041,G,S,,,,,,,,SUPERNOVA TYPE II
SN 2009as,Ia,,Y,E447-G37,,Sa,1.3,51,29,,,14.71,1.05,SUPERNOVA TYPE I
SN 2001gg,II,0.61,,A004520-2945,,,,,,,,,,SUPERNOVA TYPE II
SN 2009gb,Ia,,Y,E447-G37,,Sa,1.3,51,29,,,14.71,1.05,SUPERNOVA TYPE I
SN 1958C,,,,E443-G18,G,Sb,3,27,,,,15.14,0.96,SUPERNOVA
SN 2005al,Ia,,,NGC5304,,E pec:,-4.3,,146,,,13.44,1.17,SUPERNOVA TYPE I
SN 2012el,Ia,,,NGC5968,,Sab,2,21,,,,13.13,1.32,SUPERNOVA TYPE I
SN 2010in,,,,PGC0715978,,,,44,68,,,17.9,0.58,SUPERNOVA
SN 2004cx,II,,,NGC7755,,SBc:,4.7,41,20,,,12.56,1.58,SUPERNOVA TYPE II
SN 2010hg,Ia,,,NGC3001,,Sbc,3.9,47,6,,,12.72,1.46,SUPERNOVA TYPE I
SN 2000di,II,,,IC1637,,SBc:,4.7,41,90,,,13.46,1.23,SUPERNOVA TYPE II
SN 1988U,,0.31,,A001418-3025,G,,,,,,V,22.6,,SUPERNOVA
SN 1993P,Ic,,,A132925-3024,,,,,,,,,,SUPERNOVA TYPE I
SN 1999eu,II P pec,,Y,NGC1097,,SBb,3,47,130,,,10.23,1.97,SUPERNOVA TYPE II
SN 2013hn,Ia,,,IC4329,,S0,-3,55,63,,,12.24,1.53,SUPERNOVA TYPE I
SN 2013dm,Ia,,,E445-G56,,S0,-2.1,74,134,,,14.67,1.1,SUPERNOVA TYPE I
SN 1992bd,II,,Y,NGC1097,G,SBb,3,47,130,,,10.23,1.97,SUPERNOVA TYPE II
SN 2003ce,,,,A101210-3013,,,,,,,,,,SUPERNOVA
SN 2003B,II P,,Y,NGC1097,,SBb,3,47,130,,,10.23,1.97,SUPERNOVA TYPE II
SN 2014co,II P,,,NGC 418,,SBc,5,32,23,,,13.12,1.31,SUPERNOVA TYPE II
SN 1990S,IIn,,,M-05-29-06,,Sb,2.6,68,105,,,15.03,0.94,SUPERNOVA TYPE II
SN 2014do,II,,,E431-G02,,SBc:,5.4,42,32,,,13.12,1.5,SUPERNOVA TYPE II
SN 1995S,,,,NGC4456,,Sbc,3.9,64,150,,,14.12,1.09,SUPERNOVA
SN 1985I,I,,,PGC0049009,G,,,49,,,,16.09,0.62,SUPERNOVA TYPE I
SN 1992Z,II,,,A132854-3001,G,,,,,,,,,SUPERNOVA TYPE II
SN 2012ce,Ia,,,A111349-2955,,,,,,,,,,SUPERNOVA TYPE I
SN 2001dm,Ia,,,NGC 749,,SB0/a:,0.4,42,111,,,13.62,1.29,SUPERNOVA TYPE I
SN 1983N,Ib,,Y,NGC5236,,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA TYPE I
SN 1945B,,,Y,NGC5236,G,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA
SN 1950B,,,Y,NGC5236,G,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA
SN 1968L,II P,,Y,NGC5236,,SBc,5.1,21,,,,7.91,2.12,SUPERNOVA TYPE II
SN 2005dg,Ic,,,E420-G03,,Sc,4.7,47,146,,,14.19,1.3,SUPERNOVA TYPE I
